,Kaina,Markė,Modelis,Metai,Kuro tipas,Kėbulo tipas,Pavarų dėžė,Variklis,Rida
20119,29 900 €,Toyota,RAV4,2021-10,Benzinas,Visureigis,Automatinė,"2.0 l., 129 kW",41 856 km
20120,29 900 €,Lexus,UX 250h,2019-05,Benzinas / elektra,Visureigis,Automatinė,"2.0 l., 131 kW",105 200 km
20121,29 900 €,Lexus,IS 300h,2017-12,Benzinas / elektra,Sedanas,Automatinė,"2.5 l., 133 kW",162 800 km
20122,29 900 €,Kia,XCeed,2022-03,Benzinas / elektra,Visureigis,Automatinė,"1.6 l., 77 kW",7 000 km
20123,29 900 €,Mercedes-Benz,E220,2018-07,Dyzelinas,Universalas,Automatinė,"2.0 l., 143 kW",166 000 km
20124,29 900 €,Audi,Q7,2017-07,Dyzelinas,Visureigis,Automatinė,"3.0 l., 200 kW",196 000 km
20125,29 900 €,Porsche,Panamera,2014-01,Benzinas,Hečbekas,Automatinė,"3.6 l., 228 kW",205 700 km
20126,29 900 €,BMW,530,2018-05,Benzinas,Universalas,Automatinė,"2.0 l., 185 kW",53 025 km
20127,29 900 €,Mercedes-Benz,CLS250,2016-06,Dyzelinas,Universalas,Automatinė,"2.1 l., 150 kW",130 000 km
20128,29 900 €,Jaguar,F-Pace,2018-10,Dyzelinas,Visureigis,Automatinė,"2.0 l., 177 kW",34 330 km
20129,29 950 €,BMW,320,2020-09,Dyzelinas,Universalas,Automatinė,"2.0 l., 110 kW",80 000 km
20130,29 950 €,Porsche,Macan,2014-08,Dyzelinas,Visureigis,Automatinė,"3.0 l., 190 kW",234 000 km
20131,29 990 €,Volkswagen,Golf,2021-03,Benzinas / elektra,Hečbekas,Automatinė,"1.4 l., 150 kW",24 660 km
20132,29 500 €,Volkswagen,Tiguan,2018-10,Benzinas,Visureigis,Automatinė,"2.0 l., 132 kW",26 254 km
20133,29 500 €,Lexus,UX 250h,2020-08,Benzinas / elektra,Visureigis,Automatinė,"2.0 l., 130 kW",44 700 km
20134,29 700 €,Volkswagen,Passat,2022-04,Benzinas,Universalas,Automatinė,"1.5 l., 110 kW",12 500 km
20135,29 800 €,BMW,540,2017-09,Benzinas,Sedanas,Automatinė,"3.0 l., 250 kW",105 000 km
20136,29 850 €,BMW,320,2019-11,Dyzelinas,Universalas,Automatinė,"2.0 l., 140 kW",153 273 km
20137,29 887 €,Hyundai,Kona,2020-11,Elektra,Visureigis,Automatinė,150 kW,26 458 km
20138,29 900 €,Toyota,RAV4,2021-10,Benzinas,Visureigis,Automatinė,"2.0 l., 129 kW",41 856 km
20139,29 900 €,Lexus,UX 250h,2019-05,Benzinas / elektra,Visureigis,Automatinė,"2.0 l., 131 kW",105 200 km
20140,29 900 €,Lexus,IS 300h,2017-12,Benzinas / elektra,Sedanas,Automatinė,"2.5 l., 133 kW",162 800 km
20141,29 900 €,Kia,XCeed,2022-03,Benzinas / elektra,Visureigis,Automatinė,"1.6 l., 77 kW",7 000 km
20142,29 900 €,Mercedes-Benz,E220,2018-07,Dyzelinas,Universalas,Automatinė,"2.0 l., 143 kW",166 000 km
20143,29 900 €,Audi,Q7,2017-07,Dyzelinas,Visureigis,Automatinė,"3.0 l., 200 kW",196 000 km
20144,29 900 €,Porsche,Panamera,2014-01,Benzinas,Hečbekas,Automatinė,"3.6 l., 228 kW",205 700 km
20145,29 900 €,BMW,530,2018-05,Benzinas,Universalas,Automatinė,"2.0 l., 185 kW",53 025 km
20146,29 900 €,Mercedes-Benz,CLS250,2016-06,Dyzelinas,Universalas,Automatinė,"2.1 l., 150 kW",130 000 km
20147,29 900 €,Jaguar,F-Pace,2018-10,Dyzelinas,Visureigis,Automatinė,"2.0 l., 177 kW",34 330 km
20148,29 950 €,BMW,320,2020-09,Dyzelinas,Universalas,Automatinė,"2.0 l., 110 kW",80 000 km
20149,29 950 €,Porsche,Macan,2014-08,Dyzelinas,Visureigis,Automatinė,"3.0 l., 190 kW",234 000 km
20150,29 990 €,Volkswagen,Golf,2021-03,Benzinas / elektra,Hečbekas,Automatinė,"1.4 l., 150 kW",24 660 km
20151,29 500 €,Mercedes-Benz,S350,2014-07,Dyzelinas,Sedanas,Automatinė,"3.0 l., 190 kW",382 000 km
20152,29 500 €,Lexus,UX 250h,2020-08,Benzinas / elektra,Visureigis,Automatinė,"2.0 l., 130 kW",44 700 km
20153,29 700 €,Volkswagen,Passat,2022-04,Benzinas,Universalas,Automatinė,"1.5 l., 110 kW",12 500 km
20154,29 800 €,BMW,540,2017-09,Benzinas,Sedanas,Automatinė,"3.0 l., 250 kW",105 000 km
20155,29 850 €,BMW,320,2019-11,Dyzelinas,Universalas,Automatinė,"2.0 l., 140 kW",153 273 km
20156,29 887 €,Hyundai,Kona,2020-11,Elektra,Visureigis,Automatinė,150 kW,26 458 km
20157,29 900 €,Toyota,RAV4,2021-10,Benzinas,Visureigis,Automatinė,"2.0 l., 129 kW",41 856 km
20158,29 900 €,Kia,XCeed,2022-03,Benzinas / elektra,Visureigis,Automatinė,"1.6 l., 77 kW",7 000 km
20159,29 900 €,Lexus,UX 250h,2019-05,Benzinas / elektra,Visureigis,Automatinė,"2.0 l., 131 kW",105 200 km
20160,29 900 €,Lexus,IS 300h,2017-12,Benzinas / elektra,Sedanas,Automatinė,"2.5 l., 133 kW",162 800 km
20161,29 900 €,Audi,Q7,2017-07,Dyzelinas,Visureigis,Automatinė,"3.0 l., 200 kW",196 000 km
20162,29 900 €,Mercedes-Benz,E220,2018-07,Dyzelinas,Universalas,Automatinė,"2.0 l., 143 kW",166 000 km
20163,29 900 €,Porsche,Panamera,2014-01,Benzinas,Hečbekas,Automatinė,"3.6 l., 228 kW",205 700 km
20164,29 900 €,BMW,530,2018-05,Benzinas,Universalas,Automatinė,"2.0 l., 185 kW",53 025 km
20165,29 900 €,Mercedes-Benz,CLS250,2016-06,Dyzelinas,Universalas,Automatinė,"2.1 l., 150 kW",130 000 km
20166,29 900 €,Jaguar,F-Pace,2018-10,Dyzelinas,Visureigis,Automatinė,"2.0 l., 177 kW",34 330 km
20167,29 950 €,BMW,320,2020-09,Dyzelinas,Universalas,Automatinė,"2.0 l., 110 kW",80 000 km
20168,29 950 €,Porsche,Macan,2014-08,Dyzelinas,Visureigis,Automatinė,"3.0 l., 190 kW",234 000 km
20169,29 990 €,Volkswagen,Golf,2021-03,Benzinas / elektra,Hečbekas,Automatinė,"1.4 l., 150 kW",24 660 km
20170,29 500 €,Mercedes-Benz,E220,2017-05,Dyzelinas,Kupė (Coupe),Automatinė,"2.2 l., 143 kW",222 000 km
20171,29 500 €,Lexus,UX 250h,2020-08,Benzinas / elektra,Visureigis,Automatinė,"2.0 l., 130 kW",44 700 km
20172,29 700 €,Volkswagen,Passat,2022-04,Benzinas,Universalas,Automatinė,"1.5 l., 110 kW",12 500 km
20173,29 800 €,BMW,540,2017-09,Benzinas,Sedanas,Automatinė,"3.0 l., 250 kW",105 000 km
20174,29 850 €,BMW,320,2019-11,Dyzelinas,Universalas,Automatinė,"2.0 l., 140 kW",153 273 km
20175,29 887 €,Hyundai,Kona,2020-11,Elektra,Visureigis,Automatinė,150 kW,26 458 km
20176,29 900 €,Toyota,RAV4,2021-10,Benzinas,Visureigis,Automatinė,"2.0 l., 129 kW",41 856 km
20177,29 900 €,Kia,XCeed,2022-03,Benzinas / elektra,Visureigis,Automatinė,"1.6 l., 77 kW",7 000 km
20178,29 900 €,Mercedes-Benz,E220,2018-07,Dyzelinas,Universalas,Automatinė,"2.0 l., 143 kW",166 000 km
20179,29 900 €,Audi,Q7,2017-07,Dyzelinas,Visureigis,Automatinė,"3.0 l., 200 kW",196 000 km
20180,29 900 €,Lexus,UX 250h,2019-05,Benzinas / elektra,Visureigis,Automatinė,"2.0 l., 131 kW",105 200 km
20181,29 900 €,Lexus,IS 300h,2017-12,Benzinas / elektra,Sedanas,Automatinė,"2.5 l., 133 kW",162 800 km
20182,29 900 €,Porsche,Panamera,2014-01,Benzinas,Hečbekas,Automatinė,"3.6 l., 228 kW",205 700 km
20183,29 900 €,BMW,530,2018-05,Benzinas,Universalas,Automatinė,"2.0 l., 185 kW",53 025 km
20184,29 900 €,Mercedes-Benz,CLS250,2016-06,Dyzelinas,Universalas,Automatinė,"2.1 l., 150 kW",130 000 km
20185,29 900 €,Jaguar,F-Pace,2018-10,Dyzelinas,Visureigis,Automatinė,"2.0 l., 177 kW",34 330 km
20186,29 950 €,BMW,320,2020-09,Dyzelinas,Universalas,Automatinė,"2.0 l., 110 kW",80 000 km
20187,29 950 €,Porsche,Macan,2014-08,Dyzelinas,Visureigis,Automatinė,"3.0 l., 190 kW",234 000 km
20188,29 990 €,Volkswagen,Golf,2021-03,Benzinas / elektra,Hečbekas,Automatinė,"1.4 l., 150 kW",24 660 km
20189,29 500 €,Mercedes-Benz,E220,2017-05,Dyzelinas,Kupė (Coupe),Automatinė,"2.2 l., 143 kW",222 000 km
20190,29 500 €,Lexus,UX 250h,2020-08,Benzinas / elektra,Visureigis,Automatinė,"2.0 l., 130 kW",44 700 km
20191,29 700 €,Volkswagen,Passat,2022-04,Benzinas,Universalas,Automatinė,"1.5 l., 110 kW",12 500 km
20192,29 800 €,BMW,540,2017-09,Benzinas,Sedanas,Automatinė,"3.0 l., 250 kW",105 000 km
20193,29 850 €,BMW,320,2019-11,Dyzelinas,Universalas,Automatinė,"2.0 l., 140 kW",153 273 km
20194,29 887 €,Hyundai,Kona,2020-11,Elektra,Visureigis,Automatinė,150 kW,26 458 km
20195,29 900 €,Toyota,RAV4,2021-10,Benzinas,Visureigis,Automatinė,"2.0 l., 129 kW",41 856 km
20196,29 900 €,Kia,XCeed,2022-03,Benzinas / elektra,Visureigis,Automatinė,"1.6 l., 77 kW",7 000 km
20197,29 900 €,Mercedes-Benz,E220,2018-07,Dyzelinas,Universalas,Automatinė,"2.0 l., 143 kW",166 000 km
20198,29 900 €,Audi,Q7,2017-07,Dyzelinas,Visureigis,Automatinė,"3.0 l., 200 kW",196 000 km
20199,29 900 €,Lexus,UX 250h,2019-05,Benzinas / elektra,Visureigis,Automatinė,"2.0 l., 131 kW",105 200 km
20200,29 900 €,Lexus,IS 300h,2017-12,Benzinas / elektra,Sedanas,Automatinė,"2.5 l., 133 kW",162 800 km
20201,29 900 €,Porsche,Panamera,2014-01,Benzinas,Hečbekas,Automatinė,"3.6 l., 228 kW",205 700 km
20202,29 900 €,BMW,530,2018-05,Benzinas,Universalas,Automatinė,"2.0 l., 185 kW",53 025 km
20203,29 900 €,Mercedes-Benz,CLS250,2016-06,Dyzelinas,Universalas,Automatinė,"2.1 l., 150 kW",130 000 km
20204,29 900 €,Jaguar,F-Pace,2018-10,Dyzelinas,Visureigis,Automatinė,"2.0 l., 177 kW",34 330 km
20205,29 950 €,BMW,320,2020-09,Dyzelinas,Universalas,Automatinė,"2.0 l., 110 kW",80 000 km
20206,29 950 €,Porsche,Macan,2014-08,Dyzelinas,Visureigis,Automatinė,"3.0 l., 190 kW",234 000 km
20207,29 990 €,Volkswagen,Golf,2021-03,Benzinas / elektra,Hečbekas,Automatinė,"1.4 l., 150 kW",24 660 km
20208,29 500 €,Mercedes-Benz,E220,2017-05,Dyzelinas,Kupė (Coupe),Automatinė,"2.2 l., 143 kW",222 000 km
20209,29 500 €,Lexus,UX 250h,2020-08,Benzinas / elektra,Visureigis,Automatinė,"2.0 l., 130 kW",44 700 km
20210,29 700 €,Volkswagen,Passat,2022-04,Benzinas,Universalas,Automatinė,"1.5 l., 110 kW",12 500 km
20211,29 800 €,BMW,540,2017-09,Benzinas,Sedanas,Automatinė,"3.0 l., 250 kW",105 000 km
20212,29 850 €,BMW,320,2019-11,Dyzelinas,Universalas,Automatinė,"2.0 l., 140 kW",153 273 km
20213,29 887 €,Hyundai,Kona,2020-11,Elektra,Visureigis,Automatinė,150 kW,26 458 km
20214,29 900 €,Toyota,RAV4,2021-10,Benzinas,Visureigis,Automatinė,"2.0 l., 129 kW",41 856 km
20215,29 900 €,Kia,XCeed,2022-03,Benzinas / elektra,Visureigis,Automatinė,"1.6 l., 77 kW",7 000 km
20216,29 900 €,Mercedes-Benz,E220,2018-07,Dyzelinas,Universalas,Automatinė,"2.0 l., 143 kW",166 000 km
20217,29 900 €,Audi,Q7,2017-07,Dyzelinas,Visureigis,Automatinė,"3.0 l., 200 kW",196 000 km
20218,29 900 €,Lexus,UX 250h,2019-05,Benzinas / elektra,Visureigis,Automatinė,"2.0 l., 131 kW",105 200 km
20219,29 900 €,Lexus,IS 300h,2017-12,Benzinas / elektra,Sedanas,Automatinė,"2.5 l., 133 kW",162 800 km
20220,29 900 €,Porsche,Panamera,2014-01,Benzinas,Hečbekas,Automatinė,"3.6 l., 228 kW",205 700 km
20221,29 900 €,BMW,530,2018-05,Benzinas,Universalas,Automatinė,"2.0 l., 185 kW",53 025 km
20222,29 900 €,Mercedes-Benz,CLS250,2016-06,Dyzelinas,Universalas,Automatinė,"2.1 l., 150 kW",130 000 km
20223,29 900 €,Jaguar,F-Pace,2018-10,Dyzelinas,Visureigis,Automatinė,"2.0 l., 177 kW",34 330 km
20224,29 950 €,BMW,320,2020-09,Dyzelinas,Universalas,Automatinė,"2.0 l., 110 kW",80 000 km
20225,29 950 €,Porsche,Macan,2014-08,Dyzelinas,Visureigis,Automatinė,"3.0 l., 190 kW",234 000 km
20226,29 990 €,Volkswagen,Golf,2021-03,Benzinas / elektra,Hečbekas,Automatinė,"1.4 l., 150 kW",24 660 km
20227,29 500 €,Volkswagen,Tiguan,2018-10,Benzinas,Visureigis,Automatinė,"2.0 l., 132 kW",26 254 km
20228,29 500 €,Lexus,UX 250h,2020-08,Benzinas / elektra,Visureigis,Automatinė,"2.0 l., 130 kW",44 700 km
20229,29 700 €,Volkswagen,Passat,2022-04,Benzinas,Universalas,Automatinė,"1.5 l., 110 kW",12 500 km
20230,29 800 €,BMW,540,2017-09,Benzinas,Sedanas,Automatinė,"3.0 l., 250 kW",105 000 km
20231,29 850 €,BMW,320,2019-11,Dyzelinas,Universalas,Automatinė,"2.0 l., 140 kW",153 273 km
20232,29 887 €,Hyundai,Kona,2020-11,Elektra,Visureigis,Automatinė,150 kW,26 458 km
20233,29 900 €,Toyota,RAV4,2021-10,Benzinas,Visureigis,Automatinė,"2.0 l., 129 kW",41 856 km
20234,29 900 €,Lexus,UX 250h,2019-05,Benzinas / elektra,Visureigis,Automatinė,"2.0 l., 131 kW",105 200 km
20235,29 900 €,Lexus,IS 300h,2017-12,Benzinas / elektra,Sedanas,Automatinė,"2.5 l., 133 kW",162 800 km
20236,29 900 €,Kia,XCeed,2022-03,Benzinas / elektra,Visureigis,Automatinė,"1.6 l., 77 kW",7 000 km
20237,29 900 €,Mercedes-Benz,E220,2018-07,Dyzelinas,Universalas,Automatinė,"2.0 l., 143 kW",166 000 km
20238,29 900 €,Audi,Q7,2017-07,Dyzelinas,Visureigis,Automatinė,"3.0 l., 200 kW",196 000 km
20239,29 900 €,Porsche,Panamera,2014-01,Benzinas,Hečbekas,Automatinė,"3.6 l., 228 kW",205 700 km
20240,29 900 €,BMW,530,2018-05,Benzinas,Universalas,Automatinė,"2.0 l., 185 kW",53 025 km
20241,29 900 €,Mercedes-Benz,CLS250,2016-06,Dyzelinas,Universalas,Automatinė,"2.1 l., 150 kW",130 000 km
20242,29 900 €,Jaguar,F-Pace,2018-10,Dyzelinas,Visureigis,Automatinė,"2.0 l., 177 kW",34 330 km
20243,29 950 €,BMW,320,2020-09,Dyzelinas,Universalas,Automatinė,"2.0 l., 110 kW",80 000 km
20244,29 950 €,Porsche,Macan,2014-08,Dyzelinas,Visureigis,Automatinė,"3.0 l., 190 kW",234 000 km
20245,29 990 €,Volkswagen,Golf,2021-03,Benzinas / elektra,Hečbekas,Automatinė,"1.4 l., 150 kW",24 660 km
20246,29 500 €,Volkswagen,Tiguan,2018-10,Benzinas,Visureigis,Automatinė,"2.0 l., 132 kW",26 254 km
20247,29 500 €,Lexus,UX 250h,2020-08,Benzinas / elektra,Visureigis,Automatinė,"2.0 l., 130 kW",44 700 km
20248,29 700 €,Volkswagen,Passat,2022-04,Benzinas,Universalas,Automatinė,"1.5 l., 110 kW",12 500 km
20249,29 800 €,BMW,540,2017-09,Benzinas,Sedanas,Automatinė,"3.0 l., 250 kW",105 000 km
20250,29 850 €,BMW,320,2019-11,Dyzelinas,Universalas,Automatinė,"2.0 l., 140 kW",153 273 km
20251,29 887 €,Hyundai,Kona,2020-11,Elektra,Visureigis,Automatinė,150 kW,26 458 km
20252,29 900 €,Toyota,RAV4,2021-10,Benzinas,Visureigis,Automatinė,"2.0 l., 129 kW",41 856 km
20253,29 900 €,Lexus,UX 250h,2019-05,Benzinas / elektra,Visureigis,Automatinė,"2.0 l., 131 kW",105 200 km
20254,29 900 €,Lexus,IS 300h,2017-12,Benzinas / elektra,Sedanas,Automatinė,"2.5 l., 133 kW",162 800 km
20255,29 900 €,Kia,XCeed,2022-03,Benzinas / elektra,Visureigis,Automatinė,"1.6 l., 77 kW",7 000 km
20256,29 900 €,Mercedes-Benz,E220,2018-07,Dyzelinas,Universalas,Automatinė,"2.0 l., 143 kW",166 000 km
20257,29 900 €,Audi,Q7,2017-07,Dyzelinas,Visureigis,Automatinė,"3.0 l., 200 kW",196 000 km
20258,29 900 €,Porsche,Panamera,2014-01,Benzinas,Hečbekas,Automatinė,"3.6 l., 228 kW",205 700 km
20259,29 900 €,BMW,530,2018-05,Benzinas,Universalas,Automatinė,"2.0 l., 185 kW",53 025 km
20260,29 900 €,Mercedes-Benz,CLS250,2016-06,Dyzelinas,Universalas,Automatinė,"2.1 l., 150 kW",130 000 km
20261,29 900 €,Jaguar,F-Pace,2018-10,Dyzelinas,Visureigis,Automatinė,"2.0 l., 177 kW",34 330 km
20262,29 950 €,BMW,320,2020-09,Dyzelinas,Universalas,Automatinė,"2.0 l., 110 kW",80 000 km
20263,29 950 €,Porsche,Macan,2014-08,Dyzelinas,Visureigis,Automatinė,"3.0 l., 190 kW",234 000 km
20264,29 990 €,Volkswagen,Golf,2021-03,Benzinas / elektra,Hečbekas,Automatinė,"1.4 l., 150 kW",24 660 km
20265,29 500 €,Volkswagen,Tiguan,2018-10,Benzinas,Visureigis,Automatinė,"2.0 l., 132 kW",26 254 km
20266,29 500 €,Lexus,UX 250h,2020-08,Benzinas / elektra,Visureigis,Automatinė,"2.0 l., 130 kW",44 700 km
20267,29 700 €,Volkswagen,Passat,2022-04,Benzinas,Universalas,Automatinė,"1.5 l., 110 kW",12 500 km
20268,29 800 €,BMW,540,2017-09,Benzinas,Sedanas,Automatinė,"3.0 l., 250 kW",105 000 km
20269,29 850 €,BMW,320,2019-11,Dyzelinas,Universalas,Automatinė,"2.0 l., 140 kW",153 273 km
20270,29 887 €,Hyundai,Kona,2020-11,Elektra,Visureigis,Automatinė,150 kW,26 458 km
20271,29 900 €,Toyota,RAV4,2021-10,Benzinas,Visureigis,Automatinė,"2.0 l., 129 kW",41 856 km
20272,29 900 €,Lexus,UX 250h,2019-05,Benzinas / elektra,Visureigis,Automatinė,"2.0 l., 131 kW",105 200 km
20273,29 900 €,Lexus,IS 300h,2017-12,Benzinas / elektra,Sedanas,Automatinė,"2.5 l., 133 kW",162 800 km
20274,29 900 €,Kia,XCeed,2022-03,Benzinas / elektra,Visureigis,Automatinė,"1.6 l., 77 kW",7 000 km
20275,29 900 €,Mercedes-Benz,E220,2018-07,Dyzelinas,Universalas,Automatinė,"2.0 l., 143 kW",166 000 km
20276,29 900 €,Audi,Q7,2017-07,Dyzelinas,Visureigis,Automatinė,"3.0 l., 200 kW",196 000 km
20277,29 900 €,Porsche,Panamera,2014-01,Benzinas,Hečbekas,Automatinė,"3.6 l., 228 kW",205 700 km
20278,29 900 €,BMW,530,2018-05,Benzinas,Universalas,Automatinė,"2.0 l., 185 kW",53 025 km
20279,29 900 €,Mercedes-Benz,CLS250,2016-06,Dyzelinas,Universalas,Automatinė,"2.1 l., 150 kW",130 000 km
20280,29 900 €,Jaguar,F-Pace,2018-10,Dyzelinas,Visureigis,Automatinė,"2.0 l., 177 kW",34 330 km
20281,29 950 €,BMW,320,2020-09,Dyzelinas,Universalas,Automatinė,"2.0 l., 110 kW",80 000 km
20282,29 950 €,Porsche,Macan,2014-08,Dyzelinas,Visureigis,Automatinė,"3.0 l., 190 kW",234 000 km
20283,29 990 €,Volkswagen,Golf,2021-03,Benzinas / elektra,Hečbekas,Automatinė,"1.4 l., 150 kW",24 660 km
20284,29 500 €,Mercedes-Benz,S350,2014-07,Dyzelinas,Sedanas,Automatinė,"3.0 l., 190 kW",382 000 km
20285,29 500 €,Lexus,UX 250h,2020-08,Benzinas / elektra,Visureigis,Automatinė,"2.0 l., 130 kW",44 700 km
20286,29 700 €,Volkswagen,Passat,2022-04,Benzinas,Universalas,Automatinė,"1.5 l., 110 kW",12 500 km
20287,29 800 €,BMW,540,2017-09,Benzinas,Sedanas,Automatinė,"3.0 l., 250 kW",105 000 km
20288,29 850 €,BMW,320,2019-11,Dyzelinas,Universalas,Automatinė,"2.0 l., 140 kW",153 273 km
20289,29 887 €,Hyundai,Kona,2020-11,Elektra,Visureigis,Automatinė,150 kW,26 458 km
20290,29 900 €,Toyota,RAV4,2021-10,Benzinas,Visureigis,Automatinė,"2.0 l., 129 kW",41 856 km
20291,29 900 €,Kia,XCeed,2022-03,Benzinas / elektra,Visureigis,Automatinė,"1.6 l., 77 kW",7 000 km
20292,29 900 €,Lexus,UX 250h,2019-05,Benzinas / elektra,Visureigis,Automatinė,"2.0 l., 131 kW",105 200 km
20293,29 900 €,Lexus,IS 300h,2017-12,Benzinas / elektra,Sedanas,Automatinė,"2.5 l., 133 kW",162 800 km
20294,29 900 €,Audi,Q7,2017-07,Dyzelinas,Visureigis,Automatinė,"3.0 l., 200 kW",196 000 km
20295,29 900 €,Mercedes-Benz,E220,2018-07,Dyzelinas,Universalas,Automatinė,"2.0 l., 143 kW",166 000 km
20296,29 900 €,Porsche,Panamera,2014-01,Benzinas,Hečbekas,Automatinė,"3.6 l., 228 kW",205 700 km
20297,29 900 €,BMW,530,2018-05,Benzinas,Universalas,Automatinė,"2.0 l., 185 kW",53 025 km
20298,29 900 €,Mercedes-Benz,CLS250,2016-06,Dyzelinas,Universalas,Automatinė,"2.1 l., 150 kW",130 000 km
20299,29 900 €,Jaguar,F-Pace,2018-10,Dyzelinas,Visureigis,Automatinė,"2.0 l., 177 kW",34 330 km
20300,29 950 €,BMW,320,2020-09,Dyzelinas,Universalas,Automatinė,"2.0 l., 110 kW",80 000 km
20301,29 950 €,Porsche,Macan,2014-08,Dyzelinas,Visureigis,Automatinė,"3.0 l., 190 kW",234 000 km
20302,29 990 €,Volkswagen,Golf,2021-03,Benzinas / elektra,Hečbekas,Automatinė,"1.4 l., 150 kW",24 660 km
20303,29 500 €,Mercedes-Benz,E220,2017-05,Dyzelinas,Kupė (Coupe),Automatinė,"2.2 l., 143 kW",222 000 km
20304,29 500 €,Lexus,UX 250h,2020-08,Benzinas / elektra,Visureigis,Automatinė,"2.0 l., 130 kW",44 700 km
20305,29 700 €,Volkswagen,Passat,2022-04,Benzinas,Universalas,Automatinė,"1.5 l., 110 kW",12 500 km
20306,29 800 €,BMW,540,2017-09,Benzinas,Sedanas,Automatinė,"3.0 l., 250 kW",105 000 km
20307,29 850 €,BMW,320,2019-11,Dyzelinas,Universalas,Automatinė,"2.0 l., 140 kW",153 273 km
20308,29 887 €,Hyundai,Kona,2020-11,Elektra,Visureigis,Automatinė,150 kW,26 458 km
20309,29 900 €,Toyota,RAV4,2021-10,Benzinas,Visureigis,Automatinė,"2.0 l., 129 kW",41 856 km
20310,29 900 €,Kia,XCeed,2022-03,Benzinas / elektra,Visureigis,Automatinė,"1.6 l., 77 kW",7 000 km
20311,29 900 €,Mercedes-Benz,E220,2018-07,Dyzelinas,Universalas,Automatinė,"2.0 l., 143 kW",166 000 km
20312,29 900 €,Audi,Q7,2017-07,Dyzelinas,Visureigis,Automatinė,"3.0 l., 200 kW",196 000 km
20313,29 900 €,Lexus,UX 250h,2019-05,Benzinas / elektra,Visureigis,Automatinė,"2.0 l., 131 kW",105 200 km
20314,29 900 €,Lexus,IS 300h,2017-12,Benzinas / elektra,Sedanas,Automatinė,"2.5 l., 133 kW",162 800 km
20315,29 900 €,Porsche,Panamera,2014-01,Benzinas,Hečbekas,Automatinė,"3.6 l., 228 kW",205 700 km
20316,29 900 €,BMW,530,2018-05,Benzinas,Universalas,Automatinė,"2.0 l., 185 kW",53 025 km
20317,29 900 €,Mercedes-Benz,CLS250,2016-06,Dyzelinas,Universalas,Automatinė,"2.1 l., 150 kW",130 000 km
20318,29 900 €,Jaguar,F-Pace,2018-10,Dyzelinas,Visureigis,Automatinė,"2.0 l., 177 kW",34 330 km
20319,29 950 €,BMW,320,2020-09,Dyzelinas,Universalas,Automatinė,"2.0 l., 110 kW",80 000 km
20320,29 950 €,Porsche,Macan,2014-08,Dyzelinas,Visureigis,Automatinė,"3.0 l., 190 kW",234 000 km
20321,29 990 €,Volkswagen,Golf,2021-03,Benzinas / elektra,Hečbekas,Automatinė,"1.4 l., 150 kW",24 660 km
20322,29 500 €,Volkswagen,Tiguan,2018-10,Benzinas,Visureigis,Automatinė,"2.0 l., 132 kW",26 254 km
20323,29 500 €,Lexus,UX 250h,2020-08,Benzinas / elektra,Visureigis,Automatinė,"2.0 l., 130 kW",44 700 km
20324,29 700 €,Volkswagen,Passat,2022-04,Benzinas,Universalas,Automatinė,"1.5 l., 110 kW",12 500 km
20325,29 800 €,BMW,540,2017-09,Benzinas,Sedanas,Automatinė,"3.0 l., 250 kW",105 000 km
20326,29 850 €,BMW,320,2019-11,Dyzelinas,Universalas,Automatinė,"2.0 l., 140 kW",153 273 km
20327,29 887 €,Hyundai,Kona,2020-11,Elektra,Visureigis,Automatinė,150 kW,26 458 km
20328,29 900 €,Toyota,RAV4,2021-10,Benzinas,Visureigis,Automatinė,"2.0 l., 129 kW",41 856 km
20329,29 900 €,Lexus,UX 250h,2019-05,Benzinas / elektra,Visureigis,Automatinė,"2.0 l., 131 kW",105 200 km
20330,29 900 €,Lexus,IS 300h,2017-12,Benzinas / elektra,Sedanas,Automatinė,"2.5 l., 133 kW",162 800 km
20331,29 900 €,Kia,XCeed,2022-03,Benzinas / elektra,Visureigis,Automatinė,"1.6 l., 77 kW",7 000 km
20332,29 900 €,Mercedes-Benz,E220,2018-07,Dyzelinas,Universalas,Automatinė,"2.0 l., 143 kW",166 000 km
20333,29 900 €,Audi,Q7,2017-07,Dyzelinas,Visureigis,Automatinė,"3.0 l., 200 kW",196 000 km
20334,29 900 €,Porsche,Panamera,2014-01,Benzinas,Hečbekas,Automatinė,"3.6 l., 228 kW",205 700 km
20335,29 900 €,BMW,530,2018-05,Benzinas,Universalas,Automatinė,"2.0 l., 185 kW",53 025 km
20336,29 900 €,Mercedes-Benz,CLS250,2016-06,Dyzelinas,Universalas,Automatinė,"2.1 l., 150 kW",130 000 km
20337,29 900 €,Jaguar,F-Pace,2018-10,Dyzelinas,Visureigis,Automatinė,"2.0 l., 177 kW",34 330 km
20338,29 950 €,BMW,320,2020-09,Dyzelinas,Universalas,Automatinė,"2.0 l., 110 kW",80 000 km
20339,29 950 €,Porsche,Macan,2014-08,Dyzelinas,Visureigis,Automatinė,"3.0 l., 190 kW",234 000 km
20340,29 990 €,Volkswagen,Golf,2021-03,Benzinas / elektra,Hečbekas,Automatinė,"1.4 l., 150 kW",24 660 km
20341,29 500 €,Mercedes-Benz,E220,2017-05,Dyzelinas,Kupė (Coupe),Automatinė,"2.2 l., 143 kW",222 000 km
20342,29 500 €,Lexus,UX 250h,2020-08,Benzinas / elektra,Visureigis,Automatinė,"2.0 l., 130 kW",44 700 km
